original_term,replacement
@prabowo,prabowo
@dpr_ri,dpr republik indonesia
@kejaksaanri,kejaksaan republik indonesia
@kpk_ri,kpk republik indonesia
@gibran_tweet,gibran
@gibran_rakabuming,gibran
@kemhan_ri,kementerian pertahanan
@kemensosri,kementerian sosial
@kemenkesri,kementerian kesehatan
@badan_gizi,badan gizi nasional
@kejaksaanri,kejaksaan republik indonesia
@jokowi,jokowi
@psi_id,psi
@gerindra,gerindra
@prabowo,prabowo
@jokowi,jokowi
@gibran,gibran
@presiden,presiden
@wapres,wakil presiden
@anis,anis baswedan
@ganjar,ganjar pranowo
@prabroro,prabowo
@grok,grok
@mbg_watch,pengawas makan bergizi gratis
@dadan,dadan
@luhut,luhut
@tempodotco,tempo media
@kompascom,kompas media
@indepensumatera,indepensumatera news
@detikcom,detikcom
@cnnindonesia,cnn indonesia
@jateng_twit,info jawa tengah
@kemensetnegri,kementerian sekretariat negara
@divhumas_polri,divisi humas polri
@kompastv,kompas tv
@tribunnews,tribun news
@kemenkeuri,kementerian keuangan
@kumparan,kumparan news
@cakiminow,muhaimin iskandar
@budimandjatmiko,budiman sudjatmiko kepala badan pengentasan kemiskinan
@metro_tv,metro tv
@dennysiregar7,denny siregar
@susipudjiastuti,susi pudjiastuti
@divisihumaspolri,divisi humas polri
@kemdikdasmen,kementerian pendidikan dasar dan menengah
@puspen_tni,pusat penerangan tni
@mohmahfudmd,mahfud md
@purbayayudhi,purbaya yudhi sadewa
@tvonenews,tv one news
@dpdri,dpd republik indonesia
@zul_hasan,zulkifli hasan menteri pangan
@dandhy_laksono,dandhy laksono
@bbcindonesia,bbc indonesia
@listyosigitp,listyo sigit kapolri
@aniesbaswedan,anies baswedan
@hariankompas,harian kompas
@pdi_perjuangan,partai pdip
@puanmaharani_ri,puan maharani ketua dpr
@bpom_ri,badan pengawas obat dan makanan
@listyosigitprabowo,listyo sigit kapolri
@pandji,pandji pragiwaksono
@tni_ad,tni angkatan darat
@polisi_indonesia,polisi indonesia
@poldakaltim,polda kalimantan timur
@kpai_official,komisi perlindungan anak indonesia
@dedimulyadi71,dedi mulyadi
@ganjarpranowo,ganjar pranowo
@humaspoldajatim,humas polda jawa timur
@ditjen_pkh,ditjen peternakan dan kesehatan hewan
@muhammadiyah,ormas muhammadiyah
@bnpb_indonesia,bnpb
@corbuzier,deddy corbuzier
@aceh,info aceh
@iwanfals,iwan fals
@forum_mbg,forum makan bergizi gratis
@pppkguru,forum guru pppk
@pdemokrat,partai demokrat
@kspgoid,kantor staf presiden
@kemenag_ri,kementerian agama
@ditjenanggaran,ditjen anggaran kemenkeu
@banten_pemprov,pemprov banten
@dpp_pkb,partai pkb
@bpkri,badan pemeriksa keuangan
@trans7,trans7
@antaranews,antara news
@pramonoanung,pramono anung
@bobbynasution_,bobby nasution walikota medan
@erickthohir,erick thohir menteri bumn
@kemenkeu,kementerian keuangan
@watchdoc_id,watchdoc documentary
@pksejahtera,partai pks
