original_term,replacement
&amp;,dan
&amp;,dan
&ampl;,dan
&ampp;,dan
&amp;,amp
&quot;,tanda kutip
&apos;,tanda kutip
&lt;,kurang dari
&gt;,lebih dari
&le;,kurang dari sama dengan
&ge;,lebih dari sama dengan
&nbsp;, 
&iexcl;,seru
&cent;,sen
&pound;,poundsterling
&curren;,mata uang
&yen;,yen
&brvbar;,pipa
&sect;,bagian
&uml;,tanda
&copy;,hak cipta
&ordf;,a
&laquo;,tanda kutip
&not;,bukan
&shy;, 
&reg;,terdaftar
&macr;,garis atas
&deg;,derajat
&plusmn;,kurang lebih
&sup2;,kuadrat
&sup3;,kubik
&acute;,aksen
&micro;,mikro
&para;,paragraf
&middot;,titik tengah
&cedil;,koma bawah
&sup1;,pangkat satu
&ordm;,derajat
&raquo;,tanda kutip
&frac14;,seperempat
&frac12;,setengah
&frac34;,tiga perempat
&iquest;,tanya
&times;,dikali
&divide;,dibagi
&plus;,ditambah
&minus;,dikurangi
&equals;,sama dengan
&ne;,tidak sama dengan
&check;,centang
&cross;,silang
&bull;,poin
&dagger;,poin
&permil;,per mil
&percnt;,persen
&pct;,persen
&euro;,euro
&trade;,merek dagang
&larr;,kiri
&uarr;,atas
&rarr;,kanan
&darr;,bawah
&spades;,sekop
&clubs;,keriting
&hearts;,hati
&diams;,wajik
&#38;,dan
&#60;,kurang dari
&#62;,lebih dari
&#34;,tanda kutip
&#39;,tanda kutip
😂,tertawa
🤣,tertawa
😭,menangis
🥲,sedih tapi senyum
🥹,terharu
🥺,memohon
🥰,jatuh cinta
😍,suka sekali
😘,cium
😋,lezat
🤤,ngiler
🤮,menjijikkan
🤢,mual
🥴,pusing
🤧,bersin
😷,sakit
🤒,demam
💩,kotoran
🤡,badut
💀,mati
☠️,mati
🔥,menyala
👍,bagus
👎,buruk
👏,tepuk tangan
🙏,mohon maaf
🤝,sepakat
🫶,cinta
❤️,cinta
💔,patah hati
🤬,marah
😡,marah
😠,kesal
🙄,memutar mata
😒,tidak senang
🤔,berpikir
🤫,diam
🤭,menutup mulut
🫡,siap
💪,kuat
🇮🇩,indonesia
💸,uang
💰,uang
💵,uang
📉,turun
📈,naik
✅,centang
❌,silang
‼️,!!
⁉️,!?
🙌,dukung
💚,cinta
💛,cinta
😅,canggung
😔,sedih
😄,senyum
😊,senyum
😎,keren
🚀,cepat
🫠,pasrah
😆,tertawa
😁,senyum
😢,sedih
😩,sedih
🍲,makanan
🥳,rayakan
🎉,rayakan
🫣,takut
=,sama dengan
!=,tidak sama dengan
<=,kurang dari
>=,lebih dari
✨,kagum
😌,lega
🌟,luar biasa
😀,senang
🙏🏻,terima kasih
😇,bersyukur
🙂,senyum
🗿,terdiam
☺️,senyum
🙃,sarkas
🤪,bercanda
😃,gembira
😹,tertawa
🤗,dukung
😮‍💨,lelah
😞,kecewa
👍🏻,mantap
👀,pantau
♥️,cinta
😓,khawatir
😏,sinis
😝,meledek
😜,bercanda
😤,kesal
🤩,antusias
😬,ngeri
🫵,kamu
🤦,parah
🤑,korupsi
🫢,kaget
❗,!
😱,takut
🙈,malu
🙂‍↕️,setuju
😑,kesal
🇲🇨,indonesia
🫶🏻,dukung
🤍,tulus
💖,suka banget
🥱,bosan
🫰🏻,dukung
🤲,berdoa
🫰,setuju
💯,sempurna
😉,paham
🫵🏻,kamu
😵‍💫,pusing
☹️,sedih
🥀,gagal
🤯,pusing
❓,?
💕,sayang
😣,sakit
🚫,dilarang
🙂‍↔️,tidak setuju
❎,salah
✋,stop
🤨,curiga
😫,capek
🙏🏼,terima kasih
👦,anak
👉🏻,cek ini
✍️,catat
😥,sedih
😳,kaget
😈,jahat
🫩,kesehatan
🤓,ahli
💡,ide
😰,cemas
☺,senyum
❤,cinta
👌,oke
🧐,teliti
😪,ngantuk
😚,sayang
✊,semangat
👋,halo
✔️,benar
🤦‍♂️,aduh
💗,cinta
🤦‍♀️,aduh
👊,lawan
⚡,cepat
🤌,lezat
💫,pusing
🤏🏻,sedikit
👩‍🍳,koki
🤲🏻,berdoa
🩷,cinta
😛,ledek
⚠️,bahaya
😐,biasa
😗,siul
👎🏻,jelek
🤦🏻‍♀️,aduh
😵,pusing
✌️,damai
🖕,kasar
😦,kaget
👍🏼,sip
🙊,diam
🌞,cerah
👋🏻,halo
🥸,menyamar
✊🏻,semangat
💨,kabur
😖,kesal
👺,jahat
👮‍♂️,polisi
😙,cium
🤌🏻,lezat
👎🏿,jelek
🤏,sedikit
🙌🏻,hore
😶,diam
🤷‍♀️,tidak tahu
💃,joget
🫴🏻,minta
🦈,hiu
🤷🏻‍♀️,tidak tahu
💪🏻,kuat
💜,cinta
🤷,tidak tahu
😴,tidur
👶,bayi
😮,wow
🤕,sakit
🔴,bahaya
😯,kaget
🤷‍♂️,tidak tahu
👏🏻,salut
🕺,joget
👹,seram
🤥,bohong
⭐,bintang
👈,itu
🚬,rokok
🫨,syok
🧑‍🍳,koki
😼,licik
✋🏻,stop
😟,khawatir
